param ncells := 30;
param :			 a		 lb		 ub		  c		 is_p		  :=
	8		3		0		10000		0.3333		0
	9		336		0		10000		0.003		0
	10		309		309		309		0.0032		0
	11		484		0		10000		0.0021		0
	12		397		0		10000		0.0025		0
	7		1529		0		10000		0.0007		0
	14		25		0		10000		0.04		0
	15		3		0		10000		0.3333		0
	16		393		0		10000		0.0025		1
	17		48		0		10000		0.0208		0
	18		15		0		10000		0.0667		0
	13		484		0		10000		0.0021		0
	20		1		1		1		1		0
	21		2		2		2		0.5		0
	22		137		0		10000		0.0073		1
	23		145		0		10000		0.0069		0
	24		107		0		10000		0.009299999999999999		0
	19		392		0		10000		0.0026		0
	26		55		0		10000		0.0182		0
	27		291		0		10000		0.0034		1
	28		91		0		10000		0.011		0
	29		166		0		10000		0.006		0
	30		212		0		10000		0.0047		1
	25		815		0		10000		0.0012		0
	2		84		0		10000		0.0119		0
	3		632		0		10000		0.0016		0
	4		930		0		10000		0.0011		0
	5		843		0		10000		0.0012		0
	6		731		0		10000		0.0014		0
	1		3220		3220		3220		0.0003		0
;
param npcells := 4;
param:			 p 		 plpl 		 pupl :=
	1		16		40		30
	2		22		14		14
	3		27		15		30
	4		30		21		21
;
param :			 coef		 xcoef :=
	1		-1		1
	2		1		7
	3		1		13
	4		1		19
	5		1		25
	6		-1		1
	7		1		2
	8		1		3
	9		1		4
	10		1		5
	11		1		6
	12		-1		2
	13		1		8
	14		1		14
	15		1		20
	16		1		26
	17		-1		3
	18		1		9
	19		1		15
	20		1		21
	21		1		27
	22		-1		4
	23		1		10
	24		1		16
	25		1		22
	26		1		28
	27		-1		5
	28		1		11
	29		1		17
	30		1		23
	31		1		29
	32		-1		6
	33		1		12
	34		1		18
	35		1		24
	36		1		30
	37		-1		7
	38		1		8
	39		1		9
	40		1		10
	41		1		11
	42		1		12
	43		-1		13
	44		1		14
	45		1		15
	46		1		16
	47		1		17
	48		1		18
	49		-1		19
	50		1		20
	51		1		21
	52		1		22
	53		1		23
	54		1		24
	55		-1		25
	56		1		26
	57		1		27
	58		1		28
	59		1		29
	60		1		30
;
param nconstraints := 11;
param b :=
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
;
param begconst :=
1	1
2	6
3	12
4	17
5	22
6	27
7	32
8	37
9	43
10	49
11	55
12	61
;
param nnz := 60 ;
